gemseo_variable,size,cta_parameters,units,normalization,description,lower_bounds,reference,upper_bounds
wing_span,1,['span'],m,absolute,"CTA outer semispan, i.e. wing span = B2 + B3.",[30.0],[31.459],[35.0]
c0_body_chord,1,['c1_root_chord'],m,absolute,CTA body chord C0.,[37.0],[41.203],[45.0]
c3_transition_chord,1,['c2_c1_ratio'],m,absolute,CTA transition-wing chord C3.,[13.0],[13.927],[16.0]
c4_outer_wing_chord,1,['c3_c1_ratio'],m,absolute,CTA outer-wing chord C4.,[6.8],[7.768],[9.8]
b2_wing_fraction,1,['b2_span_ratio'],-,fraction of wing span,CTA transition-wing fraction B2/(B2+B3).,[0.14],[0.14202612924759211],[0.23]
c5_wing_tip_chord,1,['c4_c1_ratio'],m,absolute,CTA wing-tip chord C5.,[0.8],[0.8000000000000002],[1.8]
sweeps_deg,2,"['s2_deg', 's3_deg']",deg,angle,CTA public sweeps S1 and S2.,"[45.0, 27.0]","[54.059, 27.71]","[66.0, 40.0]"
twist_deg,3,"['twist_c1_deg', 'twist_c3_deg', 'twist_c4_deg']",deg,angle,"Twist values at CTA sections C0/C3, C4 and C5.","[0.2, 0.1, 0.1]","[1.0, 0.8, 0.6]","[2.0, 1.5, 1.0]"
c0_upper_cst,6,"['c1_upper_cst_0', 'c1_upper_cst_1', 'c1_upper_cst_2', 'c1_upper_cst_3', 'c1_upper_cst_4', 'c1_upper_cst_5']",-,Bernstein coefficient,Upper CST coefficients of CTA section C0.,"[0.2614813601757442, 0.07541796839093923, 0.15032412297549802, 0.0538325369718894, 0.17630141178783335, 0.13283323861908938]","[0.3214813601757442, 0.13541796839093923, 0.200324122975498, 0.1038325369718894, 0.21630141178783335, 0.16283323861908938]","[0.3814813601757442, 0.19541796839093922, 0.250324122975498, 0.15383253697188942, 0.25630141178783333, 0.19283323861908938]"
c0_lower_cst,6,"['c1_lower_cst_0', 'c1_lower_cst_1', 'c1_lower_cst_2', 'c1_lower_cst_3', 'c1_lower_cst_4', 'c1_lower_cst_5']",-,Bernstein coefficient,Lower CST coefficients of CTA section C0.,"[0.057959709162651474, 0.1782356713547635, 0.0, 0.24850032826444446, 0.25406076166617086, 0.05245081524365487]","[0.11795970916265147, 0.2382356713547635, 0.03847969918611987, 0.29850032826444445, 0.29406076166617084, 0.08245081524365487]","[0.17795970916265147, 0.2982356713547635, 0.08847969918611986, 0.34850032826444444, 0.3340607616661708, 0.11245081524365487]"
c3_upper_cst,6,"['c2_upper_cst_0', 'c2_upper_cst_1', 'c2_upper_cst_2', 'c2_upper_cst_3', 'c2_upper_cst_4', 'c2_upper_cst_5']",-,Bernstein coefficient,Upper CST coefficients of CTA section C3.,"[0.20599421033322984, 0.2039179005615584, 0.23261568013481448, 0.11904898778928093, 0.13183454718969434, 0.03761012915760517]","[0.26599421033322984, 0.2639179005615584, 0.2826156801348145, 0.16904898778928093, 0.17183454718969435, 0.06761012915760517]","[0.32599421033322984, 0.3239179005615584, 0.33261568013481446, 0.21904898778928095, 0.21183454718969436, 0.09761012915760517]"
c3_lower_cst,6,"['c2_lower_cst_0', 'c2_lower_cst_1', 'c2_lower_cst_2', 'c2_lower_cst_3', 'c2_lower_cst_4', 'c2_lower_cst_5']",-,Bernstein coefficient,Lower CST coefficients of CTA section C3.,"[0.10543469869134711, 0.15682216708613417, 0.047482250973130954, 0.19831379135755828, 0.0808849451948237, 0.06993190335101832]","[0.1654346986913471, 0.21682216708613417, 0.09748225097313096, 0.2483137913575583, 0.1208849451948237, 0.09993190335101831]","[0.2254346986913471, 0.27682216708613416, 0.14748225097313095, 0.2983137913575583, 0.16088494519482371, 0.1299319033510183]"
c4_upper_cst,6,"['c3_upper_cst_0', 'c3_upper_cst_1', 'c3_upper_cst_2', 'c3_upper_cst_3', 'c3_upper_cst_4', 'c3_upper_cst_5']",-,Bernstein coefficient,Upper CST coefficients of CTA section C4.,"[0.132497208133799, 0.0, 0.19610723721114703, 0.09203567893957236, 0.11639758085383195, 0.02864040954593154]","[0.192497208133799, 0.05467717490105108, 0.24610723721114705, 0.14203567893957236, 0.15639758085383196, 0.05864040954593154]","[0.252497208133799, 0.11467717490105109, 0.29610723721114707, 0.19203567893957235, 0.19639758085383197, 0.08864040954593154]"
c4_lower_cst,6,"['c3_lower_cst_0', 'c3_lower_cst_1', 'c3_lower_cst_2', 'c3_lower_cst_3', 'c3_lower_cst_4', 'c3_lower_cst_5']",-,Bernstein coefficient,Lower CST coefficients of CTA section C4.,"[0.010778407260776848, 0.07093012705982235, 0.024966605144453896, 0.0930579993393733, 0.09613778938194562, 0.0]","[0.07077840726077685, 0.13093012705982235, 0.0749666051444539, 0.1430579993393733, 0.13613778938194562, 0.023319557557844452]","[0.13077840726077683, 0.19093012705982235, 0.1249666051444539, 0.1930579993393733, 0.17613778938194563, 0.053319557557844455]"
c5_upper_cst,6,"['c4_upper_cst_0', 'c4_upper_cst_1', 'c4_upper_cst_2', 'c4_upper_cst_3', 'c4_upper_cst_4', 'c4_upper_cst_5']",-,Bernstein coefficient,Upper CST coefficients of CTA section C5.,"[0.0, 0.0686357146619804, 0.03772041301281408, 0.09811826206192863, 0.08791160869714168, 0.0]","[0.052687919761369426, 0.1286357146619804, 0.08772041301281408, 0.14811826206192863, 0.1279116086971417, 0.02496608975723723]","[0.11268791976136942, 0.1886357146619804, 0.13772041301281407, 0.19811826206192862, 0.1679116086971417, 0.05496608975723723]"
c5_lower_cst,6,"['c4_lower_cst_0', 'c4_lower_cst_1', 'c4_lower_cst_2', 'c4_lower_cst_3', 'c4_lower_cst_4', 'c4_lower_cst_5']",-,Bernstein coefficient,Lower CST coefficients of CTA section C5.,"[0.13542915257084556, 0.0, 0.1629148491134933, 0.06474070108949, 0.10528966197307466, 0.0]","[0.19542915257084556, 0.03906111986960669, 0.2129148491134933, 0.11474070108949, 0.14528966197307466, 0.02952858971421116]","[0.25542915257084553, 0.0990611198696067, 0.2629148491134933, 0.16474070108949002, 0.18528966197307467, 0.059528589714211155]"
